DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	AD_skin_only	AD_nose_only	AD_shared

DATA
g__Clostridioides_A_ASV-2	#947fff	AD_skin_only
g___ASV-124	#947fff	AD_skin_only
g__Solirubrobacter_ASV-3	#947fff	AD_skin_only
g___ASV-132	#947fff	AD_skin_only
g__Sphingomonas_L_486704_ASV-10	#947fff	AD_skin_only
g__Campylobacter_A_ASV-2	#947fff	AD_skin_only
g__Staphylococcus_ASV-10	#947fff	AD_skin_only
g__Flavobacterium_ASV-1	#947fff	AD_skin_only
g__Streptococcus_ASV-11	#947fff	AD_skin_only
g__Acinetobacter_ASV-19	#947fff	AD_skin_only
g___ASV-131	#947fff	AD_skin_only
g__Peptoniphilus_A_ASV-4	#947fff	AD_skin_only
g___ASV-70	#947fff	AD_skin_only
g___ASV-61	#947fff	AD_skin_only
g__Acinetobacter_ASV-17	#947fff	AD_skin_only
g__Parabacteroides_B_862066_ASV-1	#947fff	AD_skin_only
g___ASV-106	#947fff	AD_skin_only
g__Dialister_ASV-2	#947fff	AD_skin_only
g__Pontibacter_909804_ASV-2	#947fff	AD_skin_only
g___ASV-150	#947fff	AD_skin_only
g__Comamonas_F_589250_ASV-4	#947fff	AD_skin_only
g__Corynebacterium_ASV-23	#947fff	AD_skin_only
g__Dialister_ASV-5	#947fff	AD_skin_only
g__Deinococcus_B_ASV-2	#947fff	AD_skin_only
g__Gordonia_B_376796_ASV-1	#947fff	AD_skin_only
g__Dialister_ASV-6	#947fff	AD_skin_only
g__Pontibacter_909804_ASV-1	#947fff	AD_skin_only
g__Pseudonocardia_ASV-1	#947fff	AD_skin_only
g__Fannyhessea_ASV-2	#947fff	AD_skin_only
g___ASV-143	#947fff	AD_skin_only
g__Acinetobacter_ASV-8	#947fff	AD_skin_only
g__Prevotella_ASV-42	#947fff	AD_skin_only
g___ASV-128	#947fff	AD_skin_only
g__Coprococcus_A_121497_ASV-1	#947fff	AD_skin_only
g__Ezakiella_ASV-1	#947fff	AD_skin_only
g__Chryseobacterium_796614_ASV-3	#947fff	AD_skin_only
g__Klebsiella_724518_ASV-1	#947fff	AD_skin_only
g__Alistipes_A_871400_ASV-1	#947fff	AD_skin_only
g___ASV-32	#947fff	AD_skin_only
g__Blautia_A_141781_ASV-6	#947fff	AD_skin_only
g__Dysosmobacter_ASV-1	#947fff	AD_skin_only
g___ASV-122	#947fff	AD_skin_only
g__Pauljensenia_ASV-4	#947fff	AD_skin_only
g__Gaiella_ASV-1	#947fff	AD_skin_only
g__KBS-96_ASV-1	#947fff	AD_skin_only
g___ASV-71	#947fff	AD_skin_only
g__Oliverpabstia_ASV-1	#947fff	AD_skin_only
g__Solirubrobacter_ASV-4	#947fff	AD_skin_only
g__Nocardioides_A_392796_ASV-7	#947fff	AD_skin_only
g__Terrisporobacter_ASV-2	#947fff	AD_skin_only
g__Ruminococcus_D_ASV-1	#947fff	AD_skin_only
g__Prevotella_ASV-45	#947fff	AD_skin_only
g__Fenollaria_ASV-2	#947fff	AD_skin_only
g___ASV-156	#947fff	AD_skin_only
g__Clostridium_T_ASV-3	#947fff	AD_skin_only
g__Akkermansia_ASV-1	#947fff	AD_skin_only
g__Acinetobacter_ASV-22	#947fff	AD_skin_only
g__Sphingomicrobium_483265_ASV-4	#947fff	AD_skin_only
g__Psychrobacter_ASV-2	#947fff	AD_skin_only
g___ASV-115	#947fff	AD_skin_only
g___ASV-157	#ffd17f	AD_nose_only
g__Ligilactobacillus_ASV-3	#ffd17f	AD_nose_only
g__Prevotella_ASV-44	#ffd17f	AD_nose_only
g__Arachnia_ASV-1	#ffd17f	AD_nose_only
g__Flavisolibacter_B_ASV-1	#ffd17f	AD_nose_only
g__Prevotella_ASV-13	#ffd17f	AD_nose_only
g__Micrococcoides_ASV-1	#ffd17f	AD_nose_only
g__Planococcus_ASV-1	#ffd17f	AD_nose_only
g__Hymenobacter_910554_ASV-2	#ffd17f	AD_nose_only
g__Copromonas_ASV-3	#ffd17f	AD_nose_only
g__Bacteroides_H_ASV-6	#ffd17f	AD_nose_only
g__Vescimonas_ASV-2	#ffd17f	AD_nose_only
g__Exiguobacterium_A_ASV-1	#ffd17f	AD_nose_only
g__Staphylococcus_ASV-8	#ffd17f	AD_nose_only
g__Chryseomicrobium_303841_ASV-1	#ffd17f	AD_nose_only
g__Micrococcus_ASV-3	#ffd17f	AD_nose_only
g__Paratractidigestivibacter_ASV-2	#ffd17f	AD_nose_only
g__Senegalimassilia_ASV-1	#ffd17f	AD_nose_only
g__Dialister_ASV-4	#ffd17f	AD_nose_only
g__Sphingomonas_L_486704_ASV-8	#e7b9d8	AD_shared
g__Nocardioides_A_392796_ASV-5	#e7b9d8	AD_shared
g__Acinetobacter_ASV-5	#e7b9d8	AD_shared
g___ASV-139	#e7b9d8	AD_shared
g__Halomonas_E_640244_ASV-1	#e7b9d8	AD_shared
g__Sphingobacterium_ASV-4	#e7b9d8	AD_shared
g___ASV-90	#e7b9d8	AD_shared
g__Shewanella_ASV-1	#e7b9d8	AD_shared
g__Dietzia_ASV-1	#e7b9d8	AD_shared
g___ASV-5	#e7b9d8	AD_shared
g__Prevotella_ASV-38	#e7b9d8	AD_shared
g___ASV-63	#e7b9d8	AD_shared
g__Prevotella_ASV-8	#e7b9d8	AD_shared
g__Leptotrichia_A_993758_ASV-19	#e7b9d8	AD_shared
g__Peptoniphilus_A_ASV-2	#e7b9d8	AD_shared
g__Prevotella_ASV-5	#e7b9d8	AD_shared
g__Pauljensenia_ASV-2	#e7b9d8	AD_shared
g___ASV-4	#e7b9d8	AD_shared
g___ASV-30	#e7b9d8	AD_shared
g___ASV-55	#e7b9d8	AD_shared
g__Roseomonas_A_507160_ASV-2	#e7b9d8	AD_shared
g__Corynebacterium_ASV-19	#e7b9d8	AD_shared
g__Weissella_A_338544_ASV-3	#e7b9d8	AD_shared
g__Faecalibacterium_ASV-4	#e7b9d8	AD_shared
g___ASV-21	#e7b9d8	AD_shared
g___ASV-73	#e7b9d8	AD_shared
g__Psychrobacter_ASV-1	#e7b9d8	AD_shared
g__Kerstersia_ASV-1	#e7b9d8	AD_shared
g__Streptococcus_ASV-5	#e7b9d8	AD_shared
g__Prevotella_ASV-2	#e7b9d8	AD_shared
g___ASV-17	#e7b9d8	AD_shared
g___ASV-52	#e7b9d8	AD_shared
g__SIO2C1_ASV-7	#e7b9d8	AD_shared
g__Sphingomonas_L_486704_ASV-4	#e7b9d8	AD_shared
g__Limosilactobacillus_ASV-2	#e7b9d8	AD_shared
g__Clostridioides_A_ASV-1	#e7b9d8	AD_shared
