DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	ASV Groups
COLOR	#ff0000

LEGEND_TITLE	ASV Group
LEGEND_SHAPES	1	1	1	1	1	1
LEGEND_COLORS	#947fff	#ffd17f	#e7b9d8
LEGEND_LABELS	H_skin_only	H_nose_only	H_shared

DATA
g__CAG-41_ASV-1	#947fff	H_skin_only
g__Nocardioides_A_392796_ASV-6	#947fff	H_skin_only
g__Vibrio_678715_ASV-1	#947fff	H_skin_only
g__Eubacterium_M_ASV-1	#947fff	H_skin_only
g__Pleomorphomonas_ASV-2	#947fff	H_skin_only
g__Lactococcus_A_343306_ASV-1	#947fff	H_skin_only
g__Lagierella_ASV-1	#947fff	H_skin_only
g__Rhodococcus_C_375578_ASV-1	#947fff	H_skin_only
g__Massilia_ASV-4	#947fff	H_skin_only
g__Enterenecus_ASV-1	#947fff	H_skin_only
g__Corynebacterium_ASV-22	#947fff	H_skin_only
g__Senegalimassilia_ASV-1	#947fff	H_skin_only
g__Acinetobacter_ASV-10	#947fff	H_skin_only
g__Methanobrevibacter_A_ASV-1	#947fff	H_skin_only
g___ASV-127	#947fff	H_skin_only
g__Brevibacterium_ASV-6	#947fff	H_skin_only
g__Rhodoferax_A_585629_ASV-1	#947fff	H_skin_only
g__Atopostipes_ASV-1	#947fff	H_skin_only
g___ASV-146	#947fff	H_skin_only
g__Agathobaculum_ASV-1	#947fff	H_skin_only
g__Flavobacterium_ASV-2	#947fff	H_skin_only
g__Acinetobacter_ASV-21	#947fff	H_skin_only
g__Phenylobacterium_ASV-1	#947fff	H_skin_only
g__Cutibacterium_ASV-5	#947fff	H_skin_only
g__Peptoniphilus_A_ASV-3	#947fff	H_skin_only
g__Anaerococcus_ASV-11	#947fff	H_skin_only
g__Paracoccus_ASV-6	#947fff	H_skin_only
g__Pedobacter_887417_ASV-1	#947fff	H_skin_only
g__Enterocloster_ASV-3	#947fff	H_skin_only
g__Acinetobacter_ASV-18	#947fff	H_skin_only
g__Faecalibacterium_ASV-6	#947fff	H_skin_only
g__Nosocomiicoccus_ASV-1	#947fff	H_skin_only
g__Ventrimonas_ASV-1	#947fff	H_skin_only
g__Arachnia_ASV-1	#947fff	H_skin_only
g___ASV-113	#947fff	H_skin_only
g__Sphingobium_A_485959_ASV-1	#947fff	H_skin_only
g__SIO2C1_ASV-5	#947fff	H_skin_only
g__Massilia_ASV-5	#947fff	H_skin_only
g__Bariatricus_ASV-1	#947fff	H_skin_only
g__Rhodoferax_A_585629_ASV-2	#947fff	H_skin_only
g__Acinetobacter_ASV-13	#947fff	H_skin_only
g__Evtepia_ASV-1	#947fff	H_skin_only
g___ASV-158	#947fff	H_skin_only
g___ASV-120	#947fff	H_skin_only
g__Acinetobacter_ASV-11	#947fff	H_skin_only
g___ASV-149	#947fff	H_skin_only
g__Dorea_A_ASV-2	#947fff	H_skin_only
g__Eremococcus_ASV-1	#947fff	H_skin_only
g__Anaerococcus_ASV-9	#947fff	H_skin_only
g__Clostridium_Q_135822_ASV-1	#947fff	H_skin_only
g__Faecalibacterium_ASV-8	#947fff	H_skin_only
g__Anaerococcus_ASV-6	#947fff	H_skin_only
g__Bariatricus_ASV-2	#947fff	H_skin_only
