	0
900317	66.6
900263	832.5322580645161
900584	395.8863636363636
900089	72.33333333333333
900270	424.01666666666665
900558	431.21621621621625
900104	202.33333333333334
900449	26.0
900055	115.83333333333333
900236	208.6764705882353
900484	54.0
900284	141.57142857142856
900090	291.0857142857143
900542	217.90625
900605	146.66666666666666
900138	11.2
900113	234.68965517241378
900431	46.0
900082	170.4736842105263
900224	72.0
900370	106.42857142857143
900122	48.0
900347	44.25
900249	559.0
900145	433.8571428571429
900308	68.07692307692308
900314	135.5
900052	94.75
900059	158.10526315789474
900551	100.0
900301	18.5
900442	193.21428571428572
900131	333.02272727272725
900095	104.36842105263158
900392	20.0
9000107	142.55555555555554
900086	79.75
900128	197.5
900261	421.35
900093	165.95454545454547
900540	73.75
900426	549.7142857142858
900438	76.83333333333333
900563	72.0909090909091
900500	197.47619047619048
900559	61.6
900285	416.3818181818182
900061	59.5
900622	126.07142857142857
900385	54.166666666666664
900372	303.8
900244	55.5
900548	105.1
900376	442.62857142857143
900231	111.33333333333334
900485	431.8125
900409	248.93617021276594
900429	91.17647058823529
900602	122.14285714285714
900435	95.11111111111111
900388	312.70588235294116
900631	269.3913043478261
900228	48.75
900353	250.33333333333334
900367	159.5
900475	100.0
900446	270.1333333333333
900470	530.9213483146068
900593	149.30769230769232
900126	114.625
900344	78.75
900583	399.6578947368421
900501	321.0
900503	298.5882352941177
900300	34.75
900349	133.0
900436	146.5
900291	295.30357142857144
900432	73.25
900571	159.0
900108	214.3913043478261
900575	317.0576923076923
900612	12.0
900060	89.14285714285714
900316	159.25
900339	99.0
900359	49.0
900062	76.0909090909091
900352	416.3076923076923
900410	204.0
900404	27.2
900221	128.0
900466	21.0
900576	254.25531914893617
900297	270.8709677419355
900243	979.4067796610169
900459	32.333333333333336
900492	315.3157894736842
900324	317.25
900259	172.8125
900328a	383.75
900390	574.0
900377	82.3
900142	23.0
900318	111.0
900323	603.0526315789473
900222	135.92857142857142
900245	839.0101010101009
900248	139.5
900141	108.5
900586	97.54545454545455
900307	109.0
900229	160.83333333333334
900302	360.4375
900546	177.23076923076923
900149	93.85714285714286
900434	331.9423076923077
900356	498.2040816326531
900570	507.77611940298505
900440	112.0
900386	381.7586206896552
900140	54.2
900100	152.66666666666666
900223	26.333333333333332
900136	72.125
900264	64.375
900561	103.0
900099	190.55555555555554
900227	74.15384615384616
900555	424.72549019607845
900239	380.2236842105263
900487	39.166666666666664
900268	772.1176470588235
900312	171.1
900242	50.0
900395	423.75
900267	206.65
900358	314.45454545454544
900554	202.4
900478	127.5
900292	67.75
900139	88.0
900627	195.3
900319	407.0454545454545
900396	602.7176470588236
900483	83.57142857142857
900458	74.66666666666667
900272	37.0
900505	55.0
900393	151.33333333333331
900399	184.21428571428572
900238	293.6
900556	143.66666666666669
900234	117.125
900577	27.25
900271	340.88235294117646
900103	97.0
900508	422.2
900588	88.07692307692308
900094	228.33333333333334
900381	156.0
900462	213.0
900256	316.79166666666663
900078	381.1379310344828
900269	154.0
900134	47.166666666666664
900587	132.4
900414	184.21428571428572
900351	99.42857142857143
900233	289.8181818181818
900616	51.0
900413	130.8
900468	367.5909090909091
900444	95.06666666666666
900350	271.5
900125	473.5
900383	51.25
900617	159.51612903225805
900102	250.11111111111111
900310	113.07142857142857
900545	52.0
900599	75.375
900411	391.0
900560	247.92000000000002
900148	28.5
900472	70.33333333333333
900601	81.0
900097	248.42857142857142
900614	74.25
900254	40.0
900053	44.75
900084	139.33333333333334
900085	168.55
900606	238.75
900330	94.9090909090909
900447	82.5
900572	362.45
900081	134.37037037037038
900541	97.0
900283	625.1395348837209
900076	151.15
900336	75.0
900585	232.0
900080	133.58333333333334
900369	75.0
900246	30.0
900072	34.5
900329	252.06
900066	582.3947368421052
900613	451.58490566037733
900506	282.71875
900116	371.15625
900480	99.65217391304348
900087	272.0
900374	417.75
900609	50.0
900550	234.65116279069767
900473	250.04761904761904
900502	160.27272727272725
900321	352.77659574468083
900469	100.75
900504	92.66666666666667
900306	95.5
900493	153.33333333333331
900578	642.2238805970148
900320	140.58823529411765
900407	181.88235294117646
900281	512.0
900476	428.77647058823527
900105	362.5357142857143
900051	113.89473684210526
900114	248.04347826086956
900594	109.4
900425	152.0
900430	69.23076923076923
900295	103.0
900225	111.5
900463	90.2
900418	573.7906976744187
900130	294.94117647058823
900402	221.875
900569	281.55555555555554
900510	41.0
900112	170.11111111111111
900387	56.0
900491	267.55555555555554
900618	40.333333333333336
900634	45.0
900441	41.0
900098	244.19607843137254
900543	84.0
900069	27.5
900109	81.27272727272728
900580	27.0
900496	68.66666666666667
900277	272.8571428571429
900457	386.75
900360	596.8970588235294
900342	97.0
900623	94.4
900298	83.11111111111111
900364	310.8139534883721
900494	310.0
900328b	446.22222222222223
900598	92.0
900121	149.4375
900313	426.25
900124	40.25
900258	204.6
900147	195.0810810810811
900325	478.27906976744185
900481	181.0
900279	503.012987012987
900127	428.344262295082
900091	104.3529411764706
900553	43.5
900237	99.78947368421052
900408	457.7435897435897
900118	99.5
900287	294.69565217391306
900322	284.34883720930236
900557	511.48387096774195
900331	577.1016949152543
900146	81.6
900240	93.25
900379	187.0
900304	104.0
900266	219.64
900111	404.05172413793105
900079	105.75
900296	116.11111111111111
900327	406.1428571428571
900106	130.5
900247	470.2127659574468
900453	23.0
900401	380.2631578947368
900137	71.0
900120	159.64705882352942
900280	41.2
900603	133.4
900275	44.25
900363	24.6
900373	92.625
900073	324.5
900333	210.375
900241	526.0483870967741
900477	124.07692307692308
900346	118.0
900226	240.375
900419	389.4117647058823
900335	421.1142857142857
900394	1142.960396039604
900403	222.0
900626	149.0
900499	372.90625
900549	83.0
900391	104.46153846153845
900460	206.02564102564102
900573	458.6363636363636
900115	273.3333333333333
900303	566.3291139240506
900092	48.0
900299	172.14285714285714
900428	18.6
900544	371.5609756097561
900589	104.2
900289	276.5192307692308
900101	72.83333333333333
900581	503.0
900074	224.13333333333333
900417	56.5
900133	268.5833333333333
900129	134.6
900389	56.142857142857146
900454	81.0
900497	225.88235294117646
900341	228.04
900482	292.5
900278	93.5
900265	122.75
900416	41.5
900382	255.2
900068	322.0181818181818
900509	406.5138888888889
900290	199.5
900065	72.2
900574	124.86666666666667
900625	228.96428571428572
900597	97.0
900252	102.14285714285714
900144	58.3
900620	186.0
900590	192.23529411764707
900592	26.333333333333332
900117	105.0
900064	151.88235294117646
900421	254.55555555555554
900498	171.75
900135	348.28846153846155
900380	608.0
900343	479.6
900507	88.07142857142857
900326	34.5
900486	343.70175438596493
900378	179.88888888888889
900400	61.75
900337	279.0
900397	213.25
900420	219.29411764705884
900119	415.0769230769231
900334	472.2432432432432
900282	108.25
900361	127.375
900083	108.75
900456	207.6
900439	459.0
900610	132.5
900471	247.3529411764706
900552	151.58823529411765
900288	60.0
900070	123.07692307692308
900257	315.0
900251	414.69354838709677
900547	80.125
900338	141.0
900305	385.90625
900253	564.5581395348837
900232	333.19354838709677
900632	44.0
900286	143.4
900250	136.66666666666669
900607	67.75
900110	464.37931034482756
900075	31.25
900057	143.0
900357	37.0
900123	176.14285714285714
900365	65.2
900427	193.0
900235	426.03125
900384	552.4444444444445
900366	275.97297297297297
900340	436.0
900596	90.5
900422	181.0
900088	78.0
900255	230.66666666666669
900262	286.1842105263158
900621	346.72
900063	176.28571428571428
900276	330.8
900293	176.6875
900445	257.85714285714283
900371	175.0
900562	117.66666666666667
