#sample-id	Env	SourceSink	id
900279	Co-113-MM_skin	Sink	93
900550	Co-031-LM_skin	Sink	94
900283	Co-114-IG_skin	Sink	95
900552	Co-032-AR_skin	Sink	96
900281	Co-115-SG_skin	Sink	97
900560	Co-033-LN_skin	Sink	98
900285	Co-116-MR_skin	Sink	99
900562	Co-034-AS_skin	Sink	100
900280	Co-113-MM_nasal	Source	1
900551	Co-031-LM_nasal	Source	1
900284	Co-114-IG_nasal	Source	1
900553	Co-032-AR_nasal	Source	1
900282	Co-115-SG_nasal	Source	1
900561	Co-033-LN_nasal	Source	1
900286	Co-116-MR_nasal	Source	1
900563	Co-034-AS_nasal	Source	1
900485	Ca-154-OS_skin	Sink	101
900486	Ca-154-OS_skin	Sink	102
900487	Ca-154-OS_nasal	Source	1
900224	Ca-102-IR_skin	Sink	103
900225	Ca-102-IR_skin	Sink	104
900308	Ca-117-SM_skin	Sink	105
900099	Ca-026-KM_skin	Sink	106
900331	Ca-118-AS_skin	Sink	107
900102	Ca-027-IM_skin	Sink	108
900328b	Ca-119-AM_skin	Sink	109
9000107	Ca-029-TD_skin	Sink	110
900337	Ca-120-ST_skin	Sink	111
900110	Ca-030-LM_skin	Sink	112
900309	Ca-117-SM_skin	Sink	113
900100	Ca-026-KM_skin	Sink	114
900332	Ca-118-AS_skin	Sink	115
900103	Ca-027-IM_skin	Sink	116
900329	Ca-119-AM_skin	Sink	117
900108	Ca-029-TD_skin	Sink	118
900338	Ca-120-ST_skin	Sink	119
900111	Ca-030-LM_skin	Sink	120
900310	Ca-117-SM_nasal	Source	1
900101	Ca-026-KM_nasal	Source	1
900333	Ca-118-AS_nasal	Source	1
900104	Ca-027-IM_nasal	Source	1
900330	Ca-119-AM_nasal	Source	1
900109	Ca-029-TD_nasal	Source	1
900339	Ca-120-ST_nasal	Source	1
900112	Ca-030-LM_nasal	Source	1
900287	Co-117-TG_skin	Sink	121
900598	Co-036-OM_skin	Sink	122
900289	Co-118-MG_skin	Sink	123
900596	Co-037-LM_skin	Sink	124
900291	Co-119-MG_skin	Sink	125
900600	Co-038-AG_skin	Sink	126
900311	Co-120-MM_skin	Sink	127
900602	Co-039-KG_skin	Sink	128
900288	Co-117-TG_nasal	Source	1
900599	Co-036-OM_nasal	Source	1
900290	Co-118-MG_nasal	Source	1
900597	Co-037-LM_nasal	Source	1
900292	Co-119-MG_nasal	Source	1
900601	Co-038-AG_nasal	Source	1
900312	Co-120-MM_nasal	Source	1
900603	Co-039-KG_nasal	Source	1
900113	Ca-031-AN_skin	Sink	129
900334	Ca-121-BT_skin	Sink	130
900116	Ca-032-LN_skin	Sink	131
900340	Ca-122-UK_skin	Sink	132
900119	Ca-033-UD_skin	Sink	133
900122	Ca-034-LS_skin	Sink	134
900114	Ca-031-AN_skin	Sink	135
900335	Ca-121-BT_skin	Sink	136
900117	Ca-032-LN_skin	Sink	137
900341	Ca-122-UK_skin	Sink	138
900120	Ca-033-UD_skin	Sink	139
900123	Ca-034-LS_skin	Sink	140
900115	Ca-031-AN_nasal	Source	1
900336	Ca-121-BT_nasal	Source	1
900118	Ca-032-LN_nasal	Source	1
900342	Ca-122-UK_nasal	Source	1
900121	Ca-033-UD_nasal	Source	1
900124	Ca-034-LS_nasal	Source	1
900606	Co-040-ST_skin	Sink	141
900313	Co-121-MM_skin	Sink	142
900604	Co-041-LC_skin	Sink	143
900315	Co-122-IS_skin	Sink	144
900608	Co-042-LN_skin	Sink	145
900613	Co-043-ZS_skin	Sink	146
900319	Co-124-UM_skin	Sink	147
900607	Co-040-ST_nasal	Source	1
900314	Co-121-MM_nasal	Source	1
900605	Co-041-LC_nasal	Source	1
900316	Co-122-IS_nasal	Source	1
900609	Co-042-LN_nasal	Source	1
900614	Co-043-ZS_nasal	Source	1
900320	Co-124-UM_nasal	Source	1
900350	Co-133-KT_skin	Sink	148
900351	Co-133-KT_nasal	Source	1
900128	Ca-008-AF_skin	Sink	149
900055	Ca-012-LM_skin	Sink	150
900468	Ca-148-AL_skin	Sink	151
900469	Ca-148-AL_nasal	Source	1
900478	Ca-151-QR_nasal	Source	1
900129	Ca-035-AR_skin	Sink	152
900132	Ca-036-TK_skin	Sink	153
900405	Ca-127-OM_skin	Sink	154
900148	Ca-037-HM_skin	Sink	155
900408	Ca-128-SN_skin	Sink	156
