	Co004LNPN_Co-004-LN_nasal_control-anterior	900242_Co-101-AN_nasal_control-anterior	Co005SNPN_Co-005-SN_nasal_control-anterior	900244_Co-102-LD_nasal_control-anterior	900138_Co-011-SF_nasal_control-anterior	900246_Co-103-MM_nasal_control-anterior	900140_Co-012-ON_nasal_control-anterior	900248_Co-104-IV_nasal_control-anterior	900250_Co-105-IV_nasal_control-anterior	900142_Co-013-AY_nasal_control-anterior	900252_Co-106-AB_nasal_control-anterior	900146_Co-014-TN_nasal_control-anterior	900254_Co-107-TG_nasal_control-anterior	900144_Co-015-OJ_nasal_control-anterior	900264_Co-108-OG_nasal_control-anterior	900541_Co-026-LT_nasal_control-anterior	900365_Co-138-AT_nasal_control-anterior	900543_Co-027-IS_nasal_control-anterior	900267_Co-109-AG_nasal_control-anterior	900545_Co-028-UV_nasal_control-anterior	900269_Co-110-SW_nasal_control-anterior	900547_Co-029-YL_nasal_control-anterior	900266_Co-111-AM_nasal_control-anterior	900549_Co-030-AL_nasal_control-anterior	900272_Co-112-SN_nasal_control-anterior	900280_Co-113-MM_nasal_control-anterior	900551_Co-031-LM_nasal_control-anterior	900284_Co-114-IG_nasal_control-anterior	900553_Co-032-AR_nasal_control-anterior	900282_Co-115-SG_nasal_control-anterior	900561_Co-033-LN_nasal_control-anterior	900286_Co-116-MR_nasal_control-anterior	900563_Co-034-AS_nasal_control-anterior	900288_Co-117-TG_nasal_control-anterior	900599_Co-036-OM_nasal_control-anterior	900290_Co-118-MG_nasal_control-anterior	900597_Co-037-LM_nasal_control-anterior	900292_Co-119-MG_nasal_control-anterior	900601_Co-038-AG_nasal_control-anterior	900312_Co-120-MM_nasal_control-anterior	900603_Co-039-KG_nasal_control-anterior	900607_Co-040-ST_nasal_control-anterior	900314_Co-121-MM_nasal_control-anterior	900605_Co-041-LC_nasal_control-anterior	900316_Co-122-IS_nasal_control-anterior	900609_Co-042-LN_nasal_control-anterior	900614_Co-043-ZS_nasal_control-anterior	900320_Co-124-UM_nasal_control-anterior	900351_Co-133-KT_nasal_control-anterior	900618_Co-044-KM_nasal_control-anterior	900322_Co-125-MM_nasal_control-anterior	900616_Co-045-OM_nasal_control-anterior	900324_Co-126-ID_nasal_control-anterior	900620_Co-046-KL_nasal_control-anterior	900326_Co-127-MB_nasal_control-anterior	900628_Co-047-LV_nasal_control-anterior	900328a_Co-128-IV_nasal_control-anterior	900632_Co-049-LJ_nasal_control-anterior	900345_Co-130-MM_nasal_control-anterior	900634_Co-050-AH_nasal_control-anterior	900347_Co-131-AM_nasal_control-anterior	900349_Co-132-IM_nasal_control-anterior	900361_Co-137-AM_nasal_control-anterior	900353_Co-134-KK_nasal_control-anterior	900375_Co-144-LM_nasal_control-anterior	900377_Co-145-HN_nasal_control-anterior	900357_Co-135-LT_nasal_control-anterior	900359_Co-136-SM_nasal_control-anterior	900363_Co-139-MP_nasal_control-anterior	900369_Co-141-IG_nasal_control-anterior	900371_Co-142-IP_nasal_control-anterior	900373_Co-143-AN_nasal_control-anterior	900481_Co-146-LK_nasal_control-anterior	900367_Co-140-IM_nasal_control-anterior	900381_Co-146-LK_nasal_control-anterior	900379_Co-147-SV_nasal_control-anterior	900383_Co-148-IM_nasal_control-anterior	900385_Co-149-LM_nasal_control-anterior	Co002MPPN_Co-002-MP_nasal_control-anterior	Co001SMPN_Co-001-SM_nasal_control-anterior	Co003LTPN_Co-003-LT_nasal_control-anterior	900318_Co-123-LZ_nasal_control-anterior	900387_Co-150-LN_nasal_control-anterior	900136_Co-016-CB_nasal_control-anterior	900389_Co-151-AN_nasal_control-anterior	900391_Co-152-AF_nasal_control-anterior	9003912_Co-152-AF_nasal_control-anterior	900393_Co-153-YM_nasal_control-anterior	9003932_Co-153-YM_nasal_control-anterior	Unknown
900544_Co-028-UV_skin_control-nonlesional	0	0	0.0006593566853	0	0.02028524843	0	0.01253527029	0	0.0006856424958	0	5.20E-05	0.001011434037	0	9.37E-05	0	0.0002465966967	0	0.01380693508	0	0.008214482516	0.007955005147	0.01284731859	0	0.01628009142	0	0.001790453058	0	0	0	0.0004787544582	0.00221015686	0	0	0	0.0001739619231	0.000952031423	0	0	0.005813728507	0.001403053098	0.0001763283329	0.006982596071	0	0.09470378212	0	0.002515810739	0.01038930184	0	0	0.003545060848	0	0	0	0	0	0.09074944899	0	0	0.004205641404	0.0156393929	4.58E-05	0	0.005738700773	0.0008860417107	0.2043973641	0	0	0	0	0.0009602447757	0.008613878724	0	0	0	0	0.3268919984	0.0004128083172	0	0	0	0.0006609188293	0	0	0	0.0008368591616	0	0	0.1132616635	0.0008911932475	0
900268_Co-110-SW_skin_control-nonlesional	0	0	0	0	0.06059739623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1540973533	0	0	0	0	0	0	0	0	0	0	0	0.03295135596	0	0	0.07876520745	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003331606399	0.008800067396	0	0.1227759896	0	0	0.0008031080926	0	0	0	0	0	0	0	0	0.5378779157	0	0
900546_Co-029-YL_skin_control-nonlesional	0	0	0	0	0.03669954501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006734281941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0009511118814	0	0	0	0	0	0	0	0	0	0	0	0.05772681572	0	0	0.001933662712	0	0	0	0.001881721564	0	0	0	0	0	0	0	0	0	0	0.01311684971	0	0.05435302903	0	0	0	0	0	0	0	0	0	0	0	0.006386498804	0	0.8202164836
900270_Co-111-AM_skin_control-nonlesional	0.2297946264	0	0	0	0.001037403757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1035387069	0	6.56E-18	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07307641368	0	0	0	0	0	0	0	0	0	0	0	1.36E-11	0	0	8.48E-09	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13E-17	1.04E-17	0	3.58E-07	0	0	0	0	0	0	0	0	0	0	0	0.5925524829	0	0
900548_Co-030-AL_skin_control-nonlesional	0	0	0	0	0.3382999234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19484694	0	0	0	0	0	0	0	0	0	0	0	0.03535301156	0	0	0.06665356485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2039318121	0	0	0	0	0	0	0	0	0	0	0	0.1609147481	0	0
900271_Co-112-SN_skin_control-nonlesional	0	0	0	0	0.0793173698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1381319434	0	0	0	0	0	0	0	0	0	0	0.01743508034	0	0	0	0	0	0	0.02311125014	0	0	0	0.1062830073	0.04215944747	0	0	0	0	0	0	0	0	0	0	0.00269252712	0	0	0	0	0	0.0006950567796	0	0	0.2118791831	0	0	0	0	0	0	0	0	0	0	0.3706057425	0.007689391964	0	0
900279_Co-113-MM_skin_control-nonlesional	0	0	0	0	0.07095346641	0	0	0	0	0	0	0	0	0	0	0	0	0.01609438857	0	0	0	0	0	0	0	0	0	0.001200618809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08152424649	0	0	0	0	0	0	0	0	0	0	0	0.00944921746	0	0	0.4530023179	0	0	0	0	0	0.2454286841	0	0	0	0.006481072947	0	0.0007069837891	0	0	0	0	0.003651444103	0	0	0	0	0	0	0	0	0	0	0	0.1115075594	0	0
900550_Co-031-LM_skin_control-nonlesional	0	0	0	0	0.1305443949	0	0	0	0	0	0	0	0	0	0	0	0	0.005907056076	0	0	0	0	0	0	0	0	0	0.006014764398	0	0	0	0	0	0	0	0	0	0	0	0.005765570584	0	0	0	0.1349829769	0	0	0	0	0	0	0	0	0	0	0	0.1275753618	0	0	0.06619575462	0	0	0	0.001413297017	0.09516985691	0	0	0	0	0	0	0	0	0	0.07149680976	0	0.3033358885	0	0	0	0	0	0	0	0	0	0	0	0.05159826858	0	0
900283_Co-114-IG_skin_control-nonlesional	0	0	0	0	0.01566391205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003917039208	0	0	0	0	0	0	0.002459505411	0	0	0	0	0	0	0	0.1666666667	0	0	0	0	0	0	0	0.05594332513	0	0	0	0	0	0	0	0	0	0	0.387466387	0.001068815547	0	0	0.0503041364	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003466524037	0	0	0.0043927928	0.112533613	0	0	0	0	0	0	0	0	0	0	0.1992371544	0	0
900552_Co-032-AR_skin_control-nonlesional	0	0	0.0006943176968	0	0.0186921342	0	0.007482773293	0	0.001502210865	0	0	0	0	0.00462282557	0	0.007516400098	0	0.01890028693	0.001674377249	0.03567747969	0	0.007700074488	0	0.01717166802	0	0.020649516	0	0.001249614081	0	0.02873493222	0	0	0	0	0.001454631063	0.004632023536	0.0008624774722	0	0.01415758757	0.03011509827	0	0.002200006178	0	0.2131984483	0	0.008960978852	0.006828440365	0	0	0.0112986817	0	0	0	0	0	0.0432109067	0	0	0.003775626449	0.001121708388	0.003417553972	0	0.002208839172	0.02058300601	0.1666666667	0	0	0	0	0	0	0	0	0	0	0.136224718	0.0007585627345	0	0.001422187609	0	0.001622374983	0	0	0.007405538969	0.009463820786	0	0	0.1352405181	0.0009009877849	0
